"Санкт-Петербург, улица Брянцева, 15к2, Прометей, Санкт-Петербург",85.4,2/25,268,11150000,3,25,2007
"2-я Берёзовая аллея, 34, Чкаловское, Санкт-Петербург",206.0,3/3,269,99000000,4,2,2002
"посёлок Мурино, Всеволожский район, Ленинградская область, бульвар Менделеева, 11к4, Санкт-Петербург",63.6,4/20,273,6500000,2,22,2017
"посёлок Парголово, Санкт-Петербург, Заречная улица, 19к1, Парголово, Санкт-Петербург",60.0,4/19,274,6500000,2,19,2015
"ул. Вязовая, д. 8, стр. 1, Чкаловское, Санкт-Петербург",170.0,6/8,275,64486000,4,10,2017
"Санкт-Петербург, Авангардная улица, 39к2, Урицк, Санкт-Петербург",30.7,5/5,276,3000000,1,5,1971
"Санкт-Петербург, Парашютная улица, 58, Коломяги, Санкт-Петербург",39.5,18/19,281,4790000,1,21,2015
"Санкт-Петербург, Рижский проспект, 14, Екатерингофский, Санкт-Петербург",73.5,1/4,282,7550000,2,4,1899
"Санкт-Петербург, Корпусная улица, 3, Чкаловское, Санкт-Петербург",70.0,4/8,283,15950000,2,10,2018
"Санкт-Петербург, улица Зенитчиков, 3к2, Автово, Санкт-Петербург",64.5,5/5,284,7300000,3,5,1940
"Санкт-Петербург, Индустриальный проспект, 13, Пороховые, Санкт-Петербург",51.7,2/12,287,5750000,2,,
"Санкт-Петербург, проспект Металлистов, 25к3, Большая Охта, Санкт-Петербург",45.0,3/5,289,4200000,2,5,1964
"Санкт-Петербург, Шуваловский проспект, 37к1, Коломяги, Санкт-Петербург",66.0,24/24,290,7799000,2,24,2012
"Петергоф, Санкт-Петербург, Ботаническая улица, 18к2, Петергоф, Санкт-Петербург",51.0,3/9,291,5100000,2,9,1976
"Санкт-Петербург, Московский проспект, 82, Московская застава, Санкт-Петербург",76.0,6/8,293,18400000,2,9,2007
"Санкт-Петербург, 14-я линия Васильевского острова, 93, Васильевский, Санкт-Петербург",91.7,2/5,300,14900000,3,5,1905
"Санкт-Петербург, проспект Королёва, 49, Юнтолово, Санкт-Петербург",55.2,7/12,303,5975000,2,12,1989
"Санкт-Петербург, улица Карпинского, 33к1, Пискарёвка, Санкт-Петербург",65.0,12/16,306,7700000,2,16,2005
"Санкт-Петербург, Хасанская улица, 2к1, Пороховые, Санкт-Петербург",36.1,19/25,307,4700000,1,26,2007
"Санкт-Петербург, Глухая Зеленина улица, 6, Чкаловское, Санкт-Петербург",114.2,5/5,309,25997007,3,11,2015
"Санкт-Петербург, 1-й Предпортовый проезд, 14, Новоизмайловское, Санкт-Петербург",38.4,2/16,311,5100000,1,18,2015
"Санкт-Петербург, Московский проспект, 202, Московская застава, Санкт-Петербург",50.0,6/10,313,7990000,2,10,1953
"Народного Ополчения пр-кт, 10, Княжево, Санкт-Петербург",50.0,20/25,314,6800000,1,,
"Санкт-Петербург, Октябрьская набережная, 70к4, Народный, Санкт-Петербург",93.1,5/9,315,11200000,3,9,1998
"Санкт-Петербург, 3-я Советская улица, 7, Смольнинское, Санкт-Петербург",109.0,3/6,316,15850000,4,6,1904
"Санкт-Петербург, Октябрьская набережная, 126к2, Народный, Санкт-Петербург",67.0,13/17,317,7200000,2,17,2010
"Санкт-Петербург, Большая Разночинная улица, 6В, Петровский округ, Санкт-Петербург",23.5,2/5,318,3642000,0,3,1900
"Санкт-Петербург, улица Маршала Тухачевского, 23, Полюстрово, Санкт-Петербург",143.2,2/16,321,19300000,4,16,2017
"Санкт-Петербург, Московское шоссе, 8, Звёздное, Санкт-Петербург",42.7,1/7,322,4750000,2,,
"Санкт-Петербург, улица Маршала Захарова, 22к1, подъезд 4, Южно-Приморский округ, Санкт-Петербург",50.0,2/12,323,4600000,2,16,1986
"ул Краснопутиловская, 113к1, Новоизмайловское, Санкт-Петербург",42.6,19/25,324,7500000,1,25,2014
"Санкт-Петербург, улица Латышских Стрелков, 15к1, подъезд 2, Правобережный, Санкт-Петербург",41.7,13/16,325,5200000,1,16,2008
"Санкт-Петербург, проспект Народного Ополчения, 227, Константиновское, Санкт-Петербург",29.8,1/5,326,2749000,1,5,1970
"Санкт-Петербург, проспект Кузнецова, 21, Южно-Приморский округ, Санкт-Петербург",51.4,7/12,329,4999000,2,,
"Санкт-Петербург, набережная реки Фонтанки, 98, Семёновский, Санкт-Петербург",98.4,3/5,330,14450000,4,5,1969
"Санкт-Петербург, улица Композиторов, 12, Шувалово-Озерки, Санкт-Петербург",97.9,4/22,331,14300000,3,25,2010
"Средняя Подьяческая ул, 12Б, Адмиралтейский округ, Санкт-Петербург",75.1,4/5,332,9999999,2,4,1996
"Санкт-Петербург, Союзный проспект, 4, Правобережный, Санкт-Петербург",79.2,7/15,335,9500000,3,15,2014
"Санкт-Петербург, проспект Солидарности, 25к1, Оккервиль, Санкт-Петербург",57.8,8/9,336,4999000,3,9,1971
"Санкт-Петербург, Пражская улица, 16, Волковское, Санкт-Петербург",59.0,5/5,338,5250000,4,5,1968
"Санкт-Петербург, Дибуновская улица, 50, Чёрная речка, Санкт-Петербург",82.7,9/25,339,16500000,2,25,2005
"Санкт-Петербург, Мебельная улица, 35к2, подъезд 1, № 65, Санкт-Петербург",83.0,20/25,346,12900000,3,25,2011
"Санкт-Петербург, проспект Просвещения, 75, Прометей, Санкт-Петербург",67.7,7/13,351,6790000,3,,
"Московский пр-кт, 42/27, Семёновский, Санкт-Петербург",161.7,4/5,353,16500000,4,2,1899
"Лыжный пер. 2, № 65, Санкт-Петербург",110.0,4/25,355,16990000,3,25,2012
"Санкт-Петербург, Ленинский проспект, 80к1, Южно-Приморский округ, Санкт-Петербург",87.0,8/22,360,7900000,3,22,2010
"Санкт-Петербург, Петергофское шоссе, 90к1, Сосновая поляна, Санкт-Петербург",58.4,1/5,363,4990000,2,5,1999
"Россия, Санкт-Петербург, Приморский р-н, метро Пионерская, Главная ул., 25 лит. А, Коломяги, Санкт-Петербург",77.0,4/4,365,12600000,2,6,2006
