adress,area,floor,price,rooms,total_floors,year
"подъезд , , 3, микрорайон Крутые Ключи, Красноглинский район, Самара, бульвар Маршала Василевского, 3, подъезд 3, Красноглинский, Самара, Самарская область",31.0,2/3,1700000,1,3.0,2014.0
"Торговый пер, 28, Куйбышевский, Самара, Самарская область",93.0,4/4,2200000,3,4.0,1957.0
"Самара, Аэродромная улица, 127, Советский, Самара, Самарская область",33.0,1/9,1900000,1,9.0,1983.0
"Россия, Самарская область, Самара, Ново-Вокзальная ул, 146а, Промышленный, Самара, Самарская область",194.3,17/17,6287500,5,9.0,1976.0
"ул Ново-Вокзальная, 164, Промышленный, Самара, Самарская область",115.0,5/10,6550000,3,11.0,2013.0
"Самара, Ново-Садовая улица, 162, Октябрьский, Самара, Самарская область",58.9,5/5,2850000,4,5.0,1972.0
"Самара, Партизанская улица, 178, Советский, Самара, Самарская область",44.0,5/5,2100000,2,5.0,1964.0
"Самара, Красноглинский район, микрорайон Крутые Ключи, улица Евгения Золотухина, 42, Красноглинский, Самара, Самарская область",33.3,3/3,1450000,1,3.0,2012.0
"Балаковская 18а, Советский, Самара, Самарская область",55.0,4/5,3150000,3,5.0,1966.0
"Самара, улица Волгина, 132А, Железнодорожный, Самара, Самарская область",32.0,4/5,1750000,1,5.0,1963.0
"ул. Виталия Талабаева, д. 4, Куйбышевский, Самара, Самарская область",70.0,13/16,2800000,2,,
"Самара, Куйбышевский район, ул.Егорова, д.2, Куйбышевский, Самара, Самарская область",59.7,15/18,2900000,2,18.0,2011.0
"Самара, улица Советской Армии, 157, Советский, Самара, Самарская область",31.6,5/5,2000050,1,5.0,1968.0
"Самара, улица Антонова-Овсеенко, 81, Советский, Самара, Самарская область",105.0,8/10,6500000,3,10.0,2001.0
"Самара, улица Чкаловский Спуск, 2, Ленинский, Самара, Самарская область",62.2,1/5,7000000,2,5.0,1960.0
"ул Ставропольская, 109, Промышленный, Самара, Самарская область",64.8,5/5,2699999,4,5.0,1970.0
"Самара, Заводское шоссе, 46, Промышленный, Самара, Самарская область",28.0,5/9,1560000,1,9.0,1980.0
"Самара, улица 22 Партсъезда, 35, Промышленный, Самара, Самарская область",35.0,9/9,1250000,1,9.0,1974.0
"Самара, Солнечная улица, 43А, Промышленный, Самара, Самарская область",117.0,3/10,7200000,3,,1.0
"Самара, посёлок Соцгород, Арбатская улица, 3, Куйбышевский, Самара, Самарская область",34.0,3/4,800000,1,4.0,1960.0
"Россия, Самарская область, Самара, Калининградская ул, 3, Куйбышевский, Самара, Самарская область",30.0,9/9,1389000,1,9.0,1979.0
"Самара, 5-я просека, 104, Октябрьский, Самара, Самарская область",80.0,2/16,3850000,3,16.0,2013.0
"Самара, улица Фрунзе, 131, Самарский, Самара, Самарская область",30.0,1/4,1700000,0,2.0,1917.0
"Октябрьский район, Самара, 4-й проезд, 70, Октябрьский, Самара, Самарская область",26.5,2/2,1290000,1,2.0,1946.0
"Самара, Заводское шоссе, 59, Промышленный, Самара, Самарская область",30.0,5/9,1300000,1,9.0,1983.0
"Самара, Партизанская улица, 180, Советский, Самара, Самарская область",44.2,1/5,2100000,2,5.0,1964.0
"Самарская область,Самара,Кировский район,Металлургов проспект,12, Кировский, Самара, Самарская область",53.0,3/4,2500000,2,,
"Самара, Московское шоссе, 110, Октябрьский, Самара, Самарская область",43.9,1/5,1900000,2,5.0,1966.0
"Самара, улица Фрунзе, 101А, Самарский, Самара, Самарская область",56.5,5/5,4600000,2,5.0,1991.0
"Самарская область,Самара,Ленинский район,Галактионовская улица,81, Ленинский, Самара, Самарская область",100.0,8/9,6000000,2,,1.0
"Самарская область, Самара, проспект Ленина, д.7, Октябрьский, Самара, Самарская область",52.0,2/12,3550000,2,12.0,1984.0
"Самара, Краснодонская улица, 30А, подъезд 3, Промышленный, Самара, Самарская область",47.0,6/10,2800000,1,2.0,1942.0
"микрорайон Крутые Ключи, Красноглинский район, Самара, улица Виталия Жалнина, 16, Красноглинский, Самара, Самарская область",35.0,3/3,1500000,1,3.0,2013.0
"микрорайон Крутые Ключи, Красноглинский район, Самара, бульвар Ивана Финютина, 53, подъезд 3, Красноглинский, Самара, Самарская область",28.1,3/3,1350000,1,3.0,2014.0
"Самара, Конный проезд, 2, Кировский, Самара, Самарская область",23.0,4/5,1550000,1,5.0,1976.0
"поселок Сухая Самарка, Самара, Белорусская улица, 40, Куйбышевский, Самара, Самарская область",70.0,7/10,3450000,3,10.0,1997.0
"6 просека, 141, Промышленный, Самара, Самарская область",58.0,6/16,3400000,1,16.0,2003.0
"Самара, улица Земеца, 26А, Кировский, Самара, Самарская область",18.0,3/5,1150000,1,5.0,1973.0
"ул Стара Загора, 114, Промышленный, Самара, Самарская область",43.3,7/9,2890000,2,9.0,1979.0
"Самара, улица Антонова-Овсеенко, 97, Советский, Самара, Самарская область",31.0,2/5,1790000,1,5.0,1962.0
"Самара, улица Стара Загора, 175, Кировский, Самара, Самарская область",54.0,12/13,2850000,2,12.0,1987.0
"Самара, Магнитогорская улица, 1, Железнодорожный, Самара, Самарская область",68.0,6/9,4100000,3,10.0,1994.0
"ул Крайняя, 22, Красноглинский, Самара, Самарская область",50.0,4/5,2299000,2,5.0,1973.0
"Самара, Ново-Вокзальная улица, 132, Промышленный, Самара, Самарская область",32.0,4/9,1950000,1,9.0,1976.0
"поселок Кряж, Самара, Самодеятельная улица, 22, Куйбышевский, Самара, Самарская область",39.0,1/2,700000,2,2.0,1962.0
"Самара, улица Георгия Димитрова, 36, Кировский, Самара, Самарская область",18.0,3/5,1000000,1,5.0,1970.0
"Самара, улица Мориса Тореза, 13А, Железнодорожный, Самара, Самарская область",46.1,7/9,2830000,2,9.0,1982.0
"Самара, м. Юнгородок ул. Академика Дмитрия Козлова, д. 14, Самара, Самарская область",35.0,1/5,1450000,1,2.0,1951.0
"Самарская область, Самара, улица Гая, д.34, Октябрьский, Самара, Самарская область",46.0,3/5,2299999,2,5.0,1969.0
"Самара, улица Авроры, 122, Октябрьский, Самара, Самарская область",70.0,5/9,4000000,4,9.0,1977.0
"Самара, улица Красных Коммунаров, 17Б, Советский, Самара, Самарская область",27.4,9/9,1280000,1,,
"22 Партсъезда,52, Советский, Самара, Самарская область",35.0,5/9,1520000,2,9.0,1987.0
"Самара, улица Мичурина, 154, подъезд 1, Октябрьский, Самара, Самарская область",61.0,7/22,4490000,2,22.0,2013.0
"Самара, улица Виталия Талабаева, 6, Куйбышевский, Самара, Самарская область",62.5,7/16,2660000,2,,
"Самарская область,Самара,Железнодорожный район,Мориса Тореза улица,21, Железнодорожный, Самара, Самарская область",30.2,5/5,1850000,1,5.0,1967.0
"посёлок Управленческий, Красноглинский район, Самара, улица Ногина, 4, Красноглинский, Самара, Самарская область",31.0,4/5,1750000,1,5.0,1960.0
"ул Физкультурная, 5, Советский, Самара, Самарская область",44.0,1/5,2400000,2,5.0,1960.0
"посёлок Соцгород, Самара, Калининградская улица, 3, Куйбышевский, Самара, Самарская область",21.2,2/9,950000,1,9.0,1979.0
"Самара, проспект Карла Маркса, 59А, Железнодорожный, Самара, Самарская область",62.0,5/10,4200000,2,14.0,
"Самара, Клиническая улица, 24, Ленинский, Самара, Самарская область",51.1,5/9,3999999,3,9.0,1977.0
"Самара, улица Мяги, 12, Железнодорожный, Самара, Самарская область",43.6,2/5,2750000,2,5.0,1968.0
"ул. Мечникова, д. 5, Железнодорожный, Самара, Самарская область",37.5,4/22,1800000,1,19.0,2016.0
"посёлок Соцгород, Самара, Молдавская улица, 4, Куйбышевский, Самара, Самарская область",60.0,4/4,2000000,2,5.0,1968.0
"Лесная ул, 31, Октябрьский, Самара, Самарская область",150.0,6/18,16500000,3,18.0,2004.0
"Самарская область,Самара,Кировский район,Магистральная улица,135б, Кировский, Самара, Самарская область",42.0,1/5,1600000,2,5.0,1968.0
"жилой район Южный Город - 1, Волжский район, Самарская область, Николаевский проспект, 36, подъезд 2, Самара, Самарская область",50.6,3/7,3600000,2,10.0,2016.0
"Самара, Черемшанская улица, 156, Кировский, Самара, Самарская область",38.0,2/9,1990000,1,9.0,1982.0
"Самара, улица Дыбенко, 124, Советский, Самара, Самарская область",30.0,7/9,1800000,1,9.0,1982.0
"Самара, улица Тухачевского, 243, Железнодорожный, Самара, Самарская область",44.0,1/5,2320000,2,5.0,1966.0
"Воронежская улица, 198, Промышленный, Самара, Самарская область",58.5,4/9,3199000,3,9.0,1968.0
"ул. Егорова, д.13, Куйбышевский, Самара, Самарская область",84.0,3/5,3500000,3,5.0,2002.0
"Самара, Кировский район, посёлок Восемнадцатый километр, Московское шоссе, 18-й километр, 13, Кировский, Самара, Самарская область",45.5,1/5,2200000,2,5.0,1963.0
"Самара, Осетинская улица, 8, Куйбышевский, Самара, Самарская область",43.1,8/16,2450000,1,17.0,2017.0
"Самара, улица Аминева, 15, Промышленный, Самара, Самарская область",40.0,1/9,2230000,1,9.0,1986.0
"Самара, проспект Кирова, 166, Промышленный, Самара, Самарская область",67.0,9/12,3650000,3,12.0,1975.0
"Самарская область,Самара,Октябрьский район,Ново-Садовая улица,281, Октябрьский, Самара, Самарская область",41.4,3/5,2668000,2,5.0,1969.0
"Самара, проспект Кирова, 293, Кировский, Самара, Самарская область",44.0,4/5,2400000,2,5.0,1969.0
"Самара, Волжский проспект, 45, Октябрьский, Самара, Самарская область",61.0,2/5,5750000,2,5.0,1959.0
"Самарская область,Самара,Красноглинский район,Мехзавод,15-й квартал,15, Красноглинский, Самара, Самарская область",46.0,4/5,2150000,2,5.0,1972.0
"ул.Фрунзе 105, Самарский, Самара, Самарская область",194.0,3/4,14400000,4,6.0,1995.0
"карбышева, 65, Советский, Самара, Самарская область",77.0,7/16,5500000,2,16.0,1.0
"жилой район Южный Город - 1, Волжский район, Самарская область, Николаевский проспект, 60, Самара, Самарская область",31.0,8/10,1780000,1,10.0,2017.0
"Россия, Самарская область, Самара, Калинина ул, 41, Промышленный, Самара, Самарская область",73.0,1/2,2650000,3,2.0,1951.0
"Самара, Никитинская улица, 66А, Железнодорожный, Самара, Самарская область",75.0,3/9,5000000,4,9.0,1988.0
"Самара, Ульяновская улица, 87, Ленинский, Самара, Самарская область",29.2,1/1,770000,2,1.0,1880.0
"Самарская область,Самара,Куйбышевский район,Торговый переулок,26, Куйбышевский, Самара, Самарская область",65.0,4/4,2800000,3,4.0,1956.0
