adress,area,floor,price,rooms,total_floors,year,lat,lon
"Наличная ул, 36к6, Морской, Санкт-Петербург",52.0,4/12,2270,6600000,2,,,59.946743
"Санкт-Петербург, Пушкин, бульвар Алексея Толстого, 19, Пушкин, Санкт-Петербург",55.0,1/5,5374,6000000,3,5,1965,59.724437
"Санкт-Петербург, проспект Маршака, 24к1, Полюстрово, Санкт-Петербург",33.0,17/19,692,3650000,1,19,2016,60.027004
"Санкт-Петербург, ул.Шелгунова, д. 8, Обуховский округ, Санкт-Петербург",46.0,4/5,52,3900000,2,5,1961,59.866739
"Санкт-Петербург, проспект Энгельса, 97, Светлановское, Санкт-Петербург",203.0,24/25,3101,33990000,5,25,2004,60.025992
"Санкт-Петербург, проспект Наставников, 3к1, Пороховые, Санкт-Петербург",39.0,11/12,3809,5499000,1,13,2006,59.936733
"Санкт-Петербург, проспект Просвещения, 78, Прометей, Санкт-Петербург",40.0,4/12,2271,4300000,1,12,1981,60.03927
"Санкт-Петербург, улица Турку, 28к1, № 72, Санкт-Петербург",56.0,4/5,1523,4550000,3,5,1966,59.868035
"Россия г Санкт-Петербург, ул Гранитная, д. 8, Малая Охта, Санкт-Петербург",74.4,4/5,5381,7000000,3,,,59.918783
"посёлок Мурино, Всеволожский район, Ленинградская область, Охтинская аллея, 16, Санкт-Петербург",24.5,2/24,693,2690000,0,24,2016,60.049792
"Санкт-Петербург, 27-я линия В.О., 10, № 7, Санкт-Петербург",46.0,3/5,54,5970000,2,5,1897,59.927869
"Санкт-Петербург, набережная Мартынова, 4, Чкаловское, Санкт-Петербург",169.0,5/7,6225,58000000,3,7,2001,59.973843
"Санкт-Петербург, Ланское шоссе, 3к2, Чёрная речка, Санкт-Петербург",80.1,3/5,3810,10990000,3,5,1958,59.98859
"Оптиков ул, 50к2, № 65, Санкт-Петербург",42.0,2/12,2274,5190000,1,12,2010,59.999287
"Ветеранов пр-кт., д.41, Дачное, Санкт-Петербург",41.8,2/5,3107,4450000,3,5,1965,59.842531
"посёлок Мурино, Всеволожский район, Ленинградская область, Охтинская аллея, 8, Санкт-Петербург",30.7,5/15,1525,3300000,0,25,2016,60.048373
"Санкт-Петербург, улица Маршала Казакова, 70к1, Южно-Приморский округ, Санкт-Петербург",37.2,17/20,5390,3890000,1,21,2018,59.866689
"Санкт-Петербург, Ленинский проспект, 53к1, Южно-Приморский округ, Санкт-Петербург",43.4,17/17,55,3950000,1,17,2013,59.863093
"Санкт-Петербург, Петровский проспект, 14, Петровский округ, Санкт-Петербург",91.0,7/10,3811,30000000,2,10,2007,59.957935
"Моравский пер, 7к1, № 75, Санкт-Петербург",39.0,3/12,694,4650000,1,12,1983,59.838164
"Санкт-Петербург, улица Беринга, 1, Гавань, Санкт-Петербург",82.1,12/17,6227,14100000,3,17,2006,59.935782
"Санкт-Петербург, Петергофское шоссе, 43к1, Южно-Приморский округ, Санкт-Петербург",168.0,2/5,3108,20500000,4,5,2014,59.848253
"Фермское ш, 12А, Комендантский аэродром, Санкт-Петербург",51.0,6/10,2281,9999000,1,10,2012,60.012534
"Санкт-Петербург, набережная Обводного канала, 121, Семёновский, Санкт-Петербург",72.4,2/5,3812,8049999,3,,,59.910731
"Санкт-Петербург, проспект Энтузиастов, 54к1, Ржевка, Санкт-Петербург",40.0,6/12,1528,4200000,1,,,59.953056
"Санкт-Петербург, Краснопутиловская улица, 80, подъезд 5, Новоизмайловское, Санкт-Петербург",44.0,5/5,5391,5100000,2,5,1961,59.854377
"Россия, Санкт-Петербург, Санкт-Петербург, Малая Монетная, 7, Посадский, Санкт-Петербург",42.0,3/5,57,6740000,2,5,1961,59.961579
"Пионерская ул, 50, Петровский округ, Санкт-Петербург",68.0,5/14,696,14400000,2,14,2012,59.963539
